text,nb_true_label,nb_probability,nb_prediction_default_0_5,nb_prediction_threshold_0_4,nb_risk_tier,DB_actual_label,DB_predicted_label,DB_fraud_probability,DB_ham_probability,ensemble_text_probaility
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,0,3.345551112571281e-06,0,0,LOW,0,0,0.0015516003,0.9984484,0.0006987219676668858
URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,1,0.9999999900047244,1,1,HIGH,1,1,0.9981823,0.0018177589,0.5991820335007086
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,0.9999999999992042,1,1,HIGH,1,1,0.99815434,0.0018456392,0.5991694529998806
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1,0.9999999849019048,1,1,HIGH,1,1,0.99828327,0.0017167495,0.5992274692352857
"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",0,6.463661002102924e-13,0,0,LOW,0,0,0.0033390739,0.99666095,0.001502583255096955
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,0,0.0001593360888236,0,0,LOW,0,0,0.0018967649,0.99810326,0.0008774446183235401
"Not for possession, especially not first offense",0,0.472107438016529,0,0,MEDIUM,0,0,0.0029969965,0.997003,0.07216476412747935
K..k..i'm also fine:)when will you complete the course?,0,0.0549111763862361,0,0,LOW,0,0,0.0017504101,0.9982496,0.009024361002935414
WIN a å£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 å£1.50perweeksub.,1,0.999905693239444,1,1,HIGH,1,1,0.99819905,0.0018009628,0.5991754264859166
"Hmm well, night night ",0,0.0417566084121294,0,0,LOW,0,0,0.0017514352,0.9982486,0.00705163710181941
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,1,0.9999999999999148,1,1,HIGH,1,1,0.99824476,0.0017551966,0.5992101419999872
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",0,4.384217208075549e-28,0,0,LOW,0,0,0.0019413494,0.9980586,0.0008736072299999999
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1,0.999990580383367,1,1,HIGH,1,1,0.9982803,0.0017197233,0.5992247220575051
Lol for real. She told my dad I have cancer,0,0.0003265489335347,0,0,LOW,0,0,0.001651845,0.9983481,0.000792312590030205
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),0,3.191017426230224e-08,0,0,LOW,0,0,0.017546508,0.98245347,0.007895933386526138
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,1,0.999999999999318,1,1,HIGH,1,1,0.9982356,0.0017644506,0.5992060199998976
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,1,0.9999999998503027,1,1,HIGH,1,1,0.9981724,0.0018276316,0.5991775799775454
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,1,0.999995295493544,1,1,HIGH,1,1,0.99823076,0.001769314,0.5992031363240317
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,1,2.196440718143389e-05,0,0,LOW,1,1,0.99769706,0.0023028967,0.44896697166107724
"K, can that happen tonight?",0,0.0189992391778792,0,0,LOW,0,0,0.0018168826,0.9981831,0.0036674830466818797
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0,0.0012567429105161,0,0,LOW,0,1,0.6464195,0.35358045,0.29107728643657743
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",1,0.9999889517752188,1,1,HIGH,1,1,0.99809724,0.0019028265,0.5991421007662828
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1,0.8492128520309151,1,1,HIGH,1,1,0.9976356,0.0023644317,0.5763179478046372
That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,0,1.5182105892247472e-06,0,0,LOW,0,0,0.0017389123,0.99826115,0.0007827382665883837
URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,1,0.9999999900047244,1,1,HIGH,1,1,0.99813724,0.0018627723,0.5991617565007087
But i'll b going 2 sch on mon. My sis need 2 take smth.,0,2.232029830852072e-05,0,0,LOW,0,0,0.0016593806,0.9983406,0.0007500693147462781
"If e timing can, then i go w u lor...",0,0.0318538559415633,0,0,LOW,0,0,0.0016189605,0.998381,0.005506610616234495
How is it possible to teach you. And where.,0,0.472107438016529,0,0,MEDIUM,0,0,0.0016913046,0.99830866,0.07157720277247935
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",1,0.9999999999997158,1,1,HIGH,1,1,0.9982066,0.001793342,0.5991929699999574
Yes there were many sweets,0,0.3391792943375996,0,0,LOW,0,0,0.0018808356,0.9981192,0.051723270170639934
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,1,0.9999706924791032,1,1,HIGH,1,1,0.9980819,0.0019180494,0.5991324588718655
I like to think there's always the possibility of being in a pub later.,0,0.0005621938484313,0,0,LOW,0,0,0.003354486,0.9966455,0.001593847777264695
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,0.9999999999988488,1,1,HIGH,1,1,0.99814725,0.0018527737,0.5991662624998273
When you came to hostel.,0,0.1163014726951815,0,0,LOW,0,0,0.0018177832,0.9981823,0.018263223344277223
Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),0,1.7783756299875315e-05,0,0,LOW,0,0,0.0016535793,0.99834645,0.0007467782484449812
So wats ur opinion abt him and how abt is character?,0,0.0409980678644611,0,0,LOW,0,0,0.0018972072,0.99810284,0.0070034534196691655
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",0,5.124065793307047e-06,0,0,LOW,0,0,0.0034547874,0.99654526,0.001555422939868996
I am on the way to tirupur.,0,0.1363893116727335,0,0,LOW,0,0,0.0022862237,0.9977138,0.02148719741591002
YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,1,0.9999999999846808,1,1,HIGH,1,1,0.99821717,0.0017828064,0.5991977264977021
You best watch what you say cause I get drunk as a motherfucker,0,0.0006789823231224,0,0,LOW,0,0,0.002744026,0.997256,0.0013366590484683602
WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,1,0.9996623147195132,1,1,HIGH,1,1,0.998131,0.0018690965,0.5991082972079269
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",1,0.999999978487722,1,1,HIGH,1,1,0.9982571,0.001742884,0.5992156917731584
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk,1,0.9999999935423602,1,1,HIGH,1,1,0.99815494,0.0018450157,0.5991697220313541
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",0,8.686330672348938e-11,0,0,LOW,0,0,0.0028860853,0.99711394,0.001298738398029496
"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",1,0.9998452227437976,1,1,HIGH,1,1,0.9983253,0.001674687,0.5992231684115696
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",1,1.0,1,1,HIGH,1,1,0.9982393,0.0017607101,0.599207685
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,1,0.9999950200006904,1,1,HIGH,1,1,0.99821705,0.0017829838,0.5991969255001036
Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,1,1.0,1,1,HIGH,1,1,0.9982016,0.0017983364,0.5991907200000001
Wewa is 130. Iriver 255. All 128 mb.,0,0.472107438016529,0,0,MEDIUM,0,1,0.9955309,0.004469165,0.5188050207024794
"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",1,0.9954985988651276,1,1,HIGH,1,1,0.9708021,0.029197928,0.5861857348297691
Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,1,0.9999997948748311,1,1,HIGH,1,1,0.99810284,0.0018971285,0.5991462472312247
Ok i've sent u da latest version of da project.,0,0.0001443453853471,0,0,LOW,0,0,0.0017173904,0.9982827,0.0007944774878020649
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,1,0.9999999999995736,1,1,HIGH,1,1,0.9981179,0.0018820622,0.599153054999936
Hey whats up? U sleeping all morning?,0,0.0013341790475513,0,0,LOW,0,0,0.0018173523,0.99818265,0.001017935392132695
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0,4.9206166828371e-08,0,0,LOW,0,0,0.0017034237,0.99829656,0.0007665480459250242
Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,1,0.9999986920538816,1,1,HIGH,1,1,0.9980844,0.0019155827,0.5991377838080822
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,1,0.9999999878375831,1,1,HIGH,1,1,0.99821293,0.00178705,0.5991958166756375
K then 2marrow are you coming to class.,0,0.0086399414022974,0,0,LOW,0,0,0.0017974303,0.99820256,0.00210483484534461
"That's good, because I need drugs",0,0.0317679992990397,0,0,LOW,0,0,0.0016450062,0.998355,0.005505452684855955
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,0.9976669319464712,1,1,HIGH,1,1,0.997607,0.0023929705,0.5985731897919706
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,0,2.2105345177833475e-06,0,0,LOW,0,0,0.0057603507,0.9942397,0.0025924893951776674
Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,0,0.0007400889588887,0,0,LOW,0,0,0.0027280112,0.99727196,0.001338618383833305
Hey... Very inconvenient for your sis a not huh?,0,0.0026648027710795,0,0,LOW,0,0,0.0015755332,0.99842453,0.001108710355661925
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",0,0.0015853955204541,0,0,LOW,0,0,0.0024750377,0.9975249,0.001351576293068115
"What do u reckon as need 2 arrange transport if u can't do it, thanks",0,0.3519900630841111,0,0,LOW,0,0,0.001676813,0.99832314,0.05355307531261667
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,1,0.99999981613158,1,1,HIGH,1,1,0.99801993,0.0019800465,0.599108940919737
Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),0,0.0062518138712582,0,0,LOW,0,0,0.0017416973,0.9982583,0.00172153586568873
Y de asking like this.,0,0.1412693815876321,0,0,LOW,0,0,0.0016709928,0.998329,0.021942353998144815
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",1,0.9999997645894034,1,1,HIGH,1,1,0.9982937,0.0017062478,0.5992321296884104
Now am free call me pa.,0,0.6243010876004157,1,1,MEDIUM,0,0,0.0016114416,0.9983885,0.09437031186006235
They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,0,0.0414892814580559,0,0,LOW,0,0,0.012188253,0.98781174,0.011708106068708386
u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),1,1.0,1,1,HIGH,1,1,0.9982304,0.0017695709,0.59920368
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",1,0.9999999895134836,1,1,HIGH,1,1,0.99810433,0.0018956033,0.5991469469270225
Huh so early.. Then Ì_ having dinner outside izzit?,0,3.550626881304545e-06,0,0,LOW,0,0,0.0017475028,0.99825245,0.0007869088540321957
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1,0.999999150760976,1,1,HIGH,1,1,0.9980751,0.0019248999,0.5991336676141464
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1,0.9878058542961188,1,1,HIGH,1,1,0.99632794,0.003672017,0.5965184511444178
I am in bus on the way to calicut,0,0.0227127818983188,0,0,LOW,0,0,0.0022060594,0.9977939,0.00439964401474782
Aiya we discuss later lar... Pick Ì_ up at 4 is it?,0,9.288275358754756e-06,0,0,LOW,0,0,0.0015469041,0.99845314,0.0006975000863038133
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,1,0.9998962124839744,1,1,HIGH,1,1,0.9982551,0.001744942,0.5991992268725962
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1,0.99999998022372,1,1,HIGH,1,1,0.9981629,0.0018370469,0.599173302033558
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",1,0.9999809456047124,1,1,HIGH,1,1,0.99823725,0.0017626773,0.5992039043407068
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",0,4.6289604240402015e-06,0,0,LOW,0,0,0.0017061373,0.9982938,0.0007684561290636061
THIS IS A LONG FUCKIN SHOWR,0,0.0470317132038055,0,0,LOW,0,0,0.00212128,0.9978788,0.008009332980570825
Thanks love. But am i doing torch or bold.,0,0.0108735210863181,0,0,LOW,0,0,0.0015710838,0.9984289,0.002338015872947715
"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",1,0.9997354998183708,1,1,HIGH,1,1,0.9980896,0.0019103141,0.5991006449727556
Dear we got  &lt;#&gt;  dollars hi hi,0,2.8580778969230447e-10,0,0,LOW,0,0,0.0017286077,0.99827135,0.0007778735078711685
Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,0,2.073550940879597e-06,0,0,LOW,0,0,0.0019741717,0.9980259,0.0008886882976411319
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1,1.0,1,1,HIGH,1,1,0.9981798,0.0018202506,0.59918091
Hey what's up charles sorry about the late reply.,0,0.0047453994513181,0,0,LOW,0,0,0.0019506755,0.9980494,0.001589613892697715
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1,0.9999999995472136,1,1,HIGH,1,1,0.99815565,0.0018443615,0.599170042432082
S.this will increase the chance of winning.,0,0.678013694848017,1,1,MEDIUM,0,0,0.0025610074,0.997439,0.10285450755720255
Good Morning plz call me sir,0,5.554747366307175e-06,0,0,LOW,0,0,0.0016586366,0.9983413,0.0007472196821049461
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",0,5.037386221163175e-11,0,0,LOW,0,0,0.0017774334,0.99822253,0.0007998450375560794
Were trying to find a Chinese food place around here,0,0.0277107408543476,0,0,LOW,0,0,0.0035856343,0.9964143,0.00577014656315214
"No, but you told me you were going, before you got drunk!",0,0.0004309144011207,0,0,LOW,0,0,0.0019294507,0.99807054,0.000932889975168105
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",0,1.3258756093557046e-05,0,0,LOW,0,0,0.0067794444,0.99322057,0.003052738793414034
Convey my regards to him,0,0.472107438016529,0,0,MEDIUM,0,0,0.0025079458,0.9974921,0.07194469131247935
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",0,0.2049015416899397,0,0,LOW,0,0,0.03159835,0.9684017,0.04495448875349095
Ok... Let u noe when i leave my house.,0,6.287947133568708e-07,0,0,LOW,0,0,0.0016060678,0.99839395,0.0007228248292070036
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,0,0.0123317443453964,0,0,LOW,0,0,0.0045248778,0.9954751,0.00388595666180946
\Wen u miss someone,0,0.0242957075263337,0,0,LOW,0,0,0.0019941318,0.9980059,0.004541715438950055
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,1,0.9999999999880772,1,1,HIGH,1,1,0.9981517,0.0018482651,0.5991682649982115
Where r we meeting?,0,0.0617410222545456,0,0,LOW,0,0,0.0016891349,0.9983109,0.01002126404318184
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,1,0.9977857767666468,1,1,HIGH,1,1,0.9981686,0.0018313348,0.598843736514997
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,0,0.0434931511048614,0,0,LOW,0,0,0.003421738,0.9965783,0.00806375476572921
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0,7.3506542789022e-08,0,0,LOW,0,0,0.0015694811,0.99843055,0.0007062775209814183
Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,0,0.0025584833743798,0,0,LOW,0,0,0.004619599,0.9953804,0.0024625920561569706
500 free text msgs. Just text ok to 80488 and we'll credit your account,1,0.999778335771363,1,1,HIGH,1,1,0.99808985,0.001910186,0.5991071828657044
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",0,0.9115338057434538,1,1,HIGH,0,0,0.004057083,0.9959429,0.13855575821151805
You have 1 new message. Please call 08715205273,1,0.6520943663614017,1,1,MEDIUM,1,1,0.99812406,0.0018759319,0.5469699819542102
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1,0.8929633791409414,1,1,HIGH,1,1,0.998154,0.0018459959,0.5831138068711412
Still otside le..u come 2morrow maga..,0,0.0346493233404183,0,0,LOW,0,0,0.0016726402,0.9983273,0.005950086591062745
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,1,0.9999998516788192,1,1,HIGH,1,1,0.99811566,0.0018843774,0.5991520247518229
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0,0.1305072225613487,0,0,LOW,0,0,0.0020197076,0.9979803,0.020484951804202303
