text,actual_label,predicted_label,fraud_probability,ham_probability,split
You were supposed to wake ME up &gt;:(,0,0,0.001599373,0.9984006,test
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls Ã¥Â£1/minMobsmoreLKPOBOX177HP51FL,1,1,0.99823856,0.001761433,test
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,1,1,0.99698275,0.003017224,test
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only Ã¥Â£1.50/week. SavaMob - offers mobile!",1,1,0.9982712,0.001728716,test
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,1,1,0.9982167,0.001783259,test
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,0,0,0.0015516,0.9984484,test
URGENT This is our 2nd attempt to contact U. Your Ã¥Â£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,1,1,0.9981823,0.001817759,test
You are a winner U have been specially selected 2 receive Ã¥Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,1,0.99815434,0.001845639,test
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1,1,0.99828327,0.00171675,test
"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",0,0,0.003339074,0.99666095,test
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,0,0,0.001896765,0.99810326,test
"Not for possession, especially not first offense",0,0,0.002996997,0.997003,test
K..k..i'm also fine:)when will you complete the course?,0,0,0.00175041,0.9982496,test
WIN a Ã¥Â£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 Ã¥Â£1.50perweeksub.,1,1,0.99819905,0.001800963,test
"Hmm well, night night ",0,0,0.001751435,0.9982486,test
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,1,1,0.99824476,0.001755197,test
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",0,0,0.001941349,0.9980586,test
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1,1,0.9982803,0.001719723,test
Lol for real. She told my dad I have cancer,0,0,0.001651845,0.9983481,test
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),0,0,0.017546508,0.98245347,test
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,1,1,0.9982356,0.001764451,test
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Ã¥Â£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,1,1,0.9981724,0.001827632,test
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,1,1,0.99823076,0.001769314,test
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,1,1,0.99769706,0.002302897,test
"K, can that happen tonight?",0,0,0.001816883,0.9981831,test
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0,1,0.6464195,0.35358045,test
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",1,1,0.99809724,0.001902827,test
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1,1,0.9976356,0.002364432,test
That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,0,0,0.001738912,0.99826115,test
URGENT This is our 2nd attempt to contact U. Your Ã¥Â£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,1,1,0.99813724,0.001862772,test
But i'll b going 2 sch on mon. My sis need 2 take smth.,0,0,0.001659381,0.9983406,test
"If e timing can, then i go w u lor...",0,0,0.001618961,0.998381,test
How is it possible to teach you. And where.,0,0,0.001691305,0.99830866,test
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",1,1,0.9982066,0.001793342,test
Yes there were many sweets,0,0,0.001880836,0.9981192,test
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. Ã¥Â£1.50 SP:Tyrone,1,1,0.9980819,0.001918049,test
I like to think there's always the possibility of being in a pub later.,0,0,0.003354486,0.9966455,test
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,1,0.99814725,0.001852774,test
When you came to hostel.,0,0,0.001817783,0.9981823,test
Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),0,0,0.001653579,0.99834645,test
So wats ur opinion abt him and how abt is character?,0,0,0.001897207,0.99810284,test
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",0,0,0.003454787,0.99654526,test
I am on the way to tirupur.,0,0,0.002286224,0.9977138,test
YOU ARE CHOSEN TO RECEIVE A Ã¥Â£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,1,1,0.99821717,0.001782806,test
You best watch what you say cause I get drunk as a motherfucker,0,0,0.002744026,0.997256,test
WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,1,1,0.998131,0.001869097,test
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",1,1,0.9982571,0.001742884,test
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for Ã¥Â£3/wk,1,1,0.99815494,0.001845016,test
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",0,0,0.002886085,0.99711394,test
"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",1,1,0.9983253,0.001674687,test
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",1,1,0.9982393,0.00176071,test
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a Ã¥Â£150 prize. To collect is easy. Just call 09061743386,1,1,0.99821705,0.001782984,test
Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,1,1,0.9982016,0.001798336,test
Wewa is 130. Iriver 255. All 128 mb.,0,1,0.9955309,0.004469165,test
"Win the newest Â‰Ã›ÃHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",1,1,0.9708021,0.029197928,test
Moby Pub Quiz.Win a Ã¥Â£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP Ã¥Â£1.50 008704050406 SP,1,1,0.99810284,0.001897129,test
Ok i've sent u da latest version of da project.,0,0,0.00171739,0.9982827,test
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,1,1,0.9981179,0.001882062,test
Hey whats up? U sleeping all morning?,0,0,0.001817352,0.99818265,test
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0,0,0.001703424,0.99829656,test
Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,1,1,0.9980844,0.001915583,test
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÃ¥Â£2000 CASH 18+only. To opt out txt X to 07786200117,1,1,0.99821293,0.00178705,test
K then 2marrow are you coming to class.,0,0,0.00179743,0.99820256,test
"That's good, because I need drugs",0,0,0.001645006,0.998355,test
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,1,0.997607,0.002392971,test
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,0,0,0.005760351,0.9942397,test
Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,0,0,0.002728011,0.99727196,test
Hey... Very inconvenient for your sis a not huh?,0,0,0.001575533,0.99842453,test
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",0,0,0.002475038,0.9975249,test
"What do u reckon as need 2 arrange transport if u can't do it, thanks",0,0,0.001676813,0.99832314,test
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,1,1,0.99801993,0.001980047,test
Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),0,0,0.001741697,0.9982583,test
Y de asking like this.,0,0,0.001670993,0.998329,test
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",1,1,0.9982937,0.001706248,test
Now am free call me pa.,0,0,0.001611442,0.9983885,test
They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,0,0,0.012188253,0.98781174,test
u r a winner U ave been specially selected 2 receive Ã¥Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),1,1,0.9982304,0.001769571,test
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",1,1,0.99810433,0.001895603,test
Huh so early.. Then ÃŒ_ having dinner outside izzit?,0,0,0.001747503,0.99825245,test
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1,1,0.9980751,0.0019249,test
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1,1,0.99632794,0.003672017,test
I am in bus on the way to calicut,0,0,0.002206059,0.9977939,test
Aiya we discuss later lar... Pick ÃŒ_ up at 4 is it?,0,0,0.001546904,0.99845314,test
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,1,1,0.9982551,0.001744942,test
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1,1,0.9981629,0.001837047,test
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",1,1,0.99823725,0.001762677,test
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",0,0,0.001706137,0.9982938,test
THIS IS A LONG FUCKIN SHOWR,0,0,0.00212128,0.9978788,test
Thanks love. But am i doing torch or bold.,0,0,0.001571084,0.9984289,test
"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",1,1,0.9980896,0.001910314,test
Dear we got  &lt;#&gt;  dollars hi hi,0,0,0.001728608,0.99827135,test
Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,0,0,0.001974172,0.9980259,test
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1,1,0.9981798,0.001820251,test
Hey what's up charles sorry about the late reply.,0,0,0.001950676,0.9980494,test
"Think ur smart ? Win Ã¥Â£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1,1,0.99815565,0.001844362,test
S.this will increase the chance of winning.,0,0,0.002561007,0.997439,test
Good Morning plz call me sir,0,0,0.001658637,0.9983413,test
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",0,0,0.001777433,0.99822253,test
Were trying to find a Chinese food place around here,0,0,0.003585634,0.9964143,test
"No, but you told me you were going, before you got drunk!",0,0,0.001929451,0.99807054,test
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",0,0,0.006779444,0.99322057,test
Convey my regards to him,0,0,0.002507946,0.9974921,test
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",0,0,0.03159835,0.9684017,test
Ok... Let u noe when i leave my house.,0,0,0.001606068,0.99839395,test
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,0,0,0.004524878,0.9954751,test
\Wen u miss someone,0,0,0.001994132,0.9980059,test
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,1,1,0.9981517,0.001848265,test
Where r we meeting?,0,0,0.001689135,0.9983109,test
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,1,1,0.9981686,0.001831335,test
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,0,0,0.003421738,0.9965783,test
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0,0,0.001569481,0.99843055,test
Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,0,0,0.004619599,0.9953804,test
500 free text msgs. Just text ok to 80488 and we'll credit your account,1,1,0.99808985,0.001910186,test
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",0,0,0.004057083,0.9959429,test
You have 1 new message. Please call 08715205273,1,1,0.99812406,0.001875932,test
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1,1,0.998154,0.001845996,test
Still otside le..u come 2morrow maga..,0,0,0.00167264,0.9983273,test
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,1,1,0.99811566,0.001884377,test
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0,0,0.002019708,0.9979803,test
Jus finish bathing...,0,0,0.001810684,0.9981893,test
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,1,1,0.99814105,0.001858897,test
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,1,0,0.36280876,0.63719124,test
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,1,1,0.998142,0.001857977,test
Aiyah e rain like quite big leh. If drizzling i can at least run home.,0,0,0.001627141,0.9983728,test
Of course. I guess god's just got me on hold right now.,0,0,0.001744717,0.9982553,test
Bring it if you got it,0,0,0.001906764,0.9980932,test
Not getting anywhere with this damn job hunting over here!,0,0,0.003911363,0.9960886,test
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,1,0.99712795,0.002872055,test
"sorry, no, have got few things to do. may be in pub later.",0,0,0.001667831,0.9983322,test
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Ã¥Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,1,0.9981793,0.001820712,test
Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,0,0,0.002893604,0.9971064,test
Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x CallsÃ¥Â£1/minMobsmore LKPOBOX177HP51FL,1,1,0.9982368,0.001763173,test
Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,0,0,0.001959574,0.9980405,test
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",1,1,0.997633,0.00236701,test
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,1,1,0.9981667,0.001833277,test
"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 Ã¥Â£3 ",1,1,0.998126,0.001874052,test
Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),0,0,0.001581918,0.9984181,test
Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,0,0,0.00864975,0.9913503,test
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,0,1,0.9923538,0.007646152,test
I accidentally brought em home in the box,0,0,0.001915154,0.9980849,test
This message is brought to you by GMW Ltd. and is not connected to the,1,0,0.44031534,0.5596847,test
WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,0,0,0.008655128,0.9913449,test
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",1,1,0.9927981,0.007201829,test
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,0,0,0.001727238,0.9982728,test
GENT! We are trying to contact you. Last weekends draw shows that you won a Ã¥Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,1,0.99821115,0.001788853,test
Sir send to group mail check it.,0,0,0.003184982,0.996815,test
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",1,1,0.9981658,0.001834204,test
I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),1,1,0.99828076,0.00171928,test
Don know..he is watching film in computer..,0,0,0.001743747,0.99825627,test
K:)k:)what are detail you want to transfer?acc no enough?,0,0,0.002118983,0.997881,test
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,1,1,0.99822193,0.001778026,test
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,1,1,0.9980046,0.001995392,test
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Ã¥Â£3/wk",1,1,0.99812347,0.00187658,test
"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",0,0,0.002037245,0.9979627,test
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1,1,0.99830014,0.00169989,test
todays vodafone numbers ending with 0089(my last four digits) are selected to received a Ã¥Â£350 award. If your number matches please call 09063442151 to claim your Ã¥Â£350 award,1,1,0.99821764,0.001782376,test
URGENT! Your Mobile number has been awarded with a Ã¥Â£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,1,1,0.9982687,0.001731236,test
Wherre's my boytoy ? :-(,0,0,0.001807507,0.9981925,test
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,1,0.99831665,0.001683412,test
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,0,0,0.001694945,0.9983051,test
Que pases un buen tiempo or something like that,0,0,0.00375601,0.9962441,test
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,1,1,0.99820673,0.001793311,test
You have 1 new message. Call 0207-083-6089,1,1,0.9982504,0.001749606,test
FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,1,1,0.9980324,0.001967585,test
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0,0,0.002366732,0.9976332,test
Yupz... I've oredi booked slots 4 my weekends liao... ,0,0,0.001544418,0.9984555,test
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,1,1,0.99787116,0.002128826,test
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",1,1,0.99830437,0.001695627,test
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,1,1,0.99827576,0.001724269,test
Filthy stories and GIRLS waiting for your,1,0,0.002280832,0.9977191,test
No. I dont want to hear anything,0,0,0.001600677,0.9983993,test
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1,1,0.99829525,0.001704783,test
"This is the 2nd time we have tried to contact u. U have won the Ã¥Â£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",1,1,0.9982911,0.001708973,test
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,1,1,0.9981736,0.001826446,test
