text,true_label,nb_probability,nb_prediction_threshold_0_5,risk_tier
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,1,0.999995295493544,1,HIGH
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,1,2.196440718143389e-05,0,LOW
"K, can that happen tonight?",0,0.018999239177879258,0,LOW
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",0,0.0012567429105161398,0,LOW
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",1,0.9999889517752187,1,HIGH
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1,0.8492128520309151,1,HIGH
That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,0,1.5182105892247472e-06,0,LOW
URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,1,0.9999999900047243,1,HIGH
But i'll b going 2 sch on mon. My sis need 2 take smth.,0,2.232029830852072e-05,0,LOW
"If e timing can, then i go w u lor...",0,0.03185385594156339,0,LOW
How is it possible to teach you. And where.,0,0.47210743801652905,0,MEDIUM
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",1,0.9999999999997158,1,HIGH
Yes there were many sweets,0,0.33917929433759963,0,LOW
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,1,0.9999706924791032,1,HIGH
I like to think there's always the possibility of being in a pub later.,0,0.0005621938484313702,0,LOW
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,0.9999999999988489,1,HIGH
When you came to hostel.,0,0.11630147269518151,0,LOW
Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),0,1.7783756299875315e-05,0,LOW
So wats ur opinion abt him and how abt is character?,0,0.04099806786446113,0,LOW
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",0,5.124065793307047e-06,0,LOW
I am on the way to tirupur.,0,0.1363893116727335,0,LOW
YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,1,0.9999999999846807,1,HIGH
You best watch what you say cause I get drunk as a motherfucker,0,0.0006789823231224686,0,LOW
WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,1,0.9996623147195131,1,HIGH
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",1,0.999999978487722,1,HIGH
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk,1,0.9999999935423602,1,HIGH
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",0,8.686330672348939e-11,0,LOW
"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",1,0.9998452227437975,1,HIGH
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",1,1.0,1,HIGH
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,1,0.9999950200006905,1,HIGH
Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,1,1.0,1,HIGH
Wewa is 130. Iriver 255. All 128 mb.,0,0.47210743801652905,0,MEDIUM
"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",1,0.9954985988651276,1,HIGH
Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,1,0.9999997948748313,1,HIGH
Ok i've sent u da latest version of da project.,0,0.00014434538534716123,0,LOW
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,1,0.9999999999995737,1,HIGH
Hey whats up? U sleeping all morning?,0,0.0013341790475513019,0,LOW
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0,4.9206166828370996e-08,0,LOW
Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,1,0.9999986920538815,1,HIGH
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,1,0.9999999878375833,1,HIGH
K then 2marrow are you coming to class.,0,0.00863994140229747,0,LOW
"That's good, because I need drugs",0,0.03176799929903976,0,LOW
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,0.9976669319464712,1,HIGH
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,0,2.2105345177833475e-06,0,LOW
Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,0,0.0007400889588887876,0,LOW
Hey... Very inconvenient for your sis a not huh?,0,0.0026648027710795643,0,LOW
"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",0,0.0015853955204541401,0,LOW
"What do u reckon as need 2 arrange transport if u can't do it, thanks",0,0.3519900630841111,0,LOW
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,1,0.99999981613158,1,HIGH
Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),0,0.006251813871258202,0,LOW
Y de asking like this.,0,0.14126938158763216,0,LOW
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",1,0.9999997645894034,1,HIGH
Now am free call me pa.,0,0.6243010876004157,1,MEDIUM
They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,0,0.041489281458055985,0,LOW
u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),1,1.0,1,HIGH
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",1,0.9999999895134835,1,HIGH
Huh so early.. Then Ì_ having dinner outside izzit?,0,3.550626881304545e-06,0,LOW
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1,0.999999150760976,1,HIGH
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1,0.9878058542961187,1,HIGH
I am in bus on the way to calicut,0,0.022712781898318875,0,LOW
Aiya we discuss later lar... Pick Ì_ up at 4 is it?,0,9.288275358754756e-06,0,LOW
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,1,0.9998962124839743,1,HIGH
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1,0.99999998022372,1,HIGH
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",1,0.9999809456047125,1,HIGH
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",0,4.6289604240402015e-06,0,LOW
THIS IS A LONG FUCKIN SHOWR,0,0.047031713203805586,0,LOW
Thanks love. But am i doing torch or bold.,0,0.010873521086318139,0,LOW
"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",1,0.9997354998183707,1,HIGH
Dear we got  &lt;#&gt;  dollars hi hi,0,2.8580778969230447e-10,0,LOW
Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,0,2.073550940879597e-06,0,LOW
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1,1.0,1,HIGH
Hey what's up charles sorry about the late reply.,0,0.004745399451318125,0,LOW
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1,0.9999999995472137,1,HIGH
S.this will increase the chance of winning.,0,0.678013694848017,1,MEDIUM
Good Morning plz call me sir,0,5.554747366307175e-06,0,LOW
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",0,5.0373862211631746e-11,0,LOW
Were trying to find a Chinese food place around here,0,0.027710740854347687,0,LOW
"No, but you told me you were going, before you got drunk!",0,0.00043091440112075766,0,LOW
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",0,1.3258756093557046e-05,0,LOW
Convey my regards to him,0,0.47210743801652905,0,MEDIUM
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",0,0.20490154168993974,0,LOW
Ok... Let u noe when i leave my house.,0,6.287947133568708e-07,0,LOW
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,0,0.012331744345396415,0,LOW
\Wen u miss someone,0,0.024295707526333733,0,LOW
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,1,0.9999999999880771,1,HIGH
Where r we meeting?,0,0.061741022254545676,0,LOW
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,1,0.9977857767666467,1,HIGH
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,0,0.043493151104861474,0,LOW
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0,7.3506542789022e-08,0,LOW
Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,0,0.002558483374379818,0,LOW
500 free text msgs. Just text ok to 80488 and we'll credit your account,1,0.999778335771363,1,HIGH
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",0,0.9115338057434538,1,HIGH
You have 1 new message. Please call 08715205273,1,0.6520943663614017,1,MEDIUM
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1,0.8929633791409414,1,HIGH
Still otside le..u come 2morrow maga..,0,0.03464932334041834,0,LOW
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,1,0.9999998516788192,1,HIGH
"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0,0.13050722256134872,0,LOW
Jus finish bathing...,0,0.011486839994912084,0,LOW
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,1,0.9970676014652122,1,HIGH
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,1,0.9551737733900749,1,HIGH
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,1,0.9999991050374203,1,HIGH
Aiyah e rain like quite big leh. If drizzling i can at least run home.,0,9.431837670697821e-06,0,LOW
Of course. I guess god's just got me on hold right now.,0,0.00027308492785574026,0,LOW
Bring it if you got it,0,0.010945834902494156,0,LOW
Not getting anywhere with this damn job hunting over here!,0,0.022712781898318875,0,LOW
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,0.9998388039341822,1,HIGH
"sorry, no, have got few things to do. may be in pub later.",0,7.966562494215981e-06,0,LOW
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,1.0,1,HIGH
Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,0,0.0006245222781315772,0,LOW
Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL,1,0.7589805365836246,1,HIGH
Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,0,0.00017302276407993265,0,LOW
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",1,0.9999981758223708,1,HIGH
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,1,0.9999999877857847,1,HIGH
"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",1,0.7055125154683562,1,MEDIUM
Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),0,0.003998800011051238,0,LOW
Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,0,0.47210743801652905,0,MEDIUM
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,0,0.5565399662904386,1,MEDIUM
I accidentally brought em home in the box,0,0.2114567439027996,0,LOW
This message is brought to you by GMW Ltd. and is not connected to the,1,0.5037858396098066,1,MEDIUM
WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,0,0.23536031578847827,0,LOW
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",1,0.9997100464642088,1,HIGH
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,0,1.3993115971525246e-08,0,LOW
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,1.0,1,HIGH
Sir send to group mail check it.,0,0.05117194461992271,0,LOW
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",1,0.999999999984027,1,HIGH
I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),1,0.9998211279920372,1,HIGH
Don know..he is watching film in computer..,0,0.0015521326813707893,0,LOW
K:)k:)what are detail you want to transfer?acc no enough?,0,0.3018832112989759,0,LOW
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,1,0.9999940962510199,1,HIGH
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,1,0.9998533198812511,1,HIGH
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",1,0.9988775945570177,1,HIGH
"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",0,5.977762115610778e-10,0,LOW
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1,0.9999999997505284,1,HIGH
todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,1,0.9999999966179587,1,HIGH
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,1,1.0,1,HIGH
Wherre's my boytoy ? :-(,0,0.11630147269518162,0,LOW
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,0.6422150058750602,1,MEDIUM
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,0,0.0038843076314899316,0,LOW
Que pases un buen tiempo or something like that,0,0.14126938158763216,0,LOW
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,1,0.9999999999999716,1,HIGH
You have 1 new message. Call 0207-083-6089,1,0.7128443185634323,1,MEDIUM
FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,1,0.9998015566707363,1,HIGH
I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,0,1.392073372283766e-07,0,LOW
Yupz... I've oredi booked slots 4 my weekends liao... ,0,0.05799110744701878,0,LOW
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,1,0.9996817210639146,1,HIGH
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",1,0.9999999996392717,1,HIGH
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,1,0.9999999999999716,1,HIGH
Filthy stories and GIRLS waiting for your,1,0.6259341624898689,1,MEDIUM
No. I dont want to hear anything,0,0.0006809221576153436,0,LOW
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1,1.0,1,HIGH
"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",1,0.9999999999999147,1,HIGH
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,1,1.0,1,HIGH
